qid,pos_tag_count
49,"Counter({'DT': 4, 'NN': 2, 'VBP': 2, 'JJ': 2, 'IN': 2, 'VB': 1, 'WP': 1, '.': 1, 'PRP': 1, 'VBZ': 1, 'NNS': 1})"
51,"Counter({'NN': 3, 'IN': 3, 'DT': 2, 'NNS': 2, 'VBG': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'PRP': 1})"
53,"Counter({'VBZ': 1, '.': 1, 'NN': 1, 'JJ': 1, 'WP': 1})"
55,"Counter({'VB': 2, 'RB': 1, 'NN': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'NNS': 1})"
57,"Counter({'NN': 3, 'VB': 1, 'RBS': 1, '.': 1, 'TO': 1, 'WP': 1, 'VBZ': 1})"
59,"Counter({'MD': 2, 'NN': 2, 'VB': 1, 'WRB': 1, '.': 1, 'JJ': 1, 'IN': 1})"
61,"Counter({'VB': 3, 'MD': 1, 'NN': 1, 'JJR': 1, 'CD': 1, 'TO': 1, 'PRP': 1, '.': 1})"
63,"Counter({'NN': 3, 'IN': 3, 'DT': 3, 'WDT': 2, 'RB': 1, '.': 1, 'VBP': 1, 'JJ': 1, 'VBZ': 1, 'NNS': 1})"
65,"Counter({'VB': 3, 'NN': 2, 'MD': 1, 'WP': 1, 'RBS': 1, '.': 1, 'TO': 1, 'PRP': 1, 'JJ': 1, 'IN': 1, 'DT': 1, 'NNS': 1})"
67,"Counter({'NNS': 4, 'JJ': 3, 'NN': 2, '.': 2, 'DT': 2, 'VB': 1, 'FW': 1, ')': 1, '(': 1, ',': 1, 'RB': 1, 'IN': 1, 'VBZ': 1, 'PRP$': 1})"
69,"Counter({'NN': 3, 'WP': 1, 'JJS': 1, '.': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
71,"Counter({'VB': 3, 'NNS': 2, 'MD': 1, 'WRB': 1, 'NN': 1, 'PRP$': 1, '.': 1, 'TO': 1, 'VBP': 1, 'RB': 1, 'DT': 1})"
73,"Counter({'VB': 5, 'DT': 3, 'MD': 2, 'NN': 2, '.': 2, 'JJ': 2, 'NNS': 2, 'WRB': 1, 'CC': 1, 'IN': 1, 'PRP$': 1, 'TO': 1, 'CD': 1, 'VBP': 1, 'WP': 1, ':': 1})"
75,"Counter({'NN': 4, 'PRP': 4, 'VB': 3, '.': 3, 'PRP$': 2, 'WRB': 2, 'TO': 2, 'WP': 2, 'VBZ': 2, 'MD': 1, 'VBD': 1, 'IN': 1, 'DT': 1, 'CD': 1, ',': 1, 'UH': 1})"
77,"Counter({'VB': 1, 'WRB': 1, 'NN': 1, '.': 1, 'VBP': 1, 'PRP': 1, 'IN': 1})"
79,"Counter({'RB': 2, 'NN': 2, 'IN': 2, 'JJ': 2, 'DT': 2, 'CC': 1, 'CD': 1, '.': 1, 'VBP': 1, 'WP': 1, 'VBZ': 1, ':': 1, 'NNS': 1})"
81,"Counter({'VB': 2, 'VBP': 1, 'WRB': 1, '.': 1})"
83,"Counter({'VB': 2, 'NN': 2, 'MD': 1, 'WRB': 1, 'PRP$': 1, '.': 1, 'JJ': 1})"
85,"Counter({'NN': 3, 'VB': 2, 'MD': 1, 'CD': 1, 'IN': 1, 'DT': 1, '.': 1})"
87,"Counter({'NN': 4, 'DT': 3, 'VBG': 2, 'JJ': 2, 'RB': 1, 'CC': 1, '.': 1, 'PRP': 1, 'IN': 1, 'VBZ': 1})"
89,"Counter({'VB': 2, 'WP': 2, '.': 2, 'IN': 2, 'VBZ': 2, 'NNS': 2, 'VBG': 1, 'VBP': 1, 'PRP': 1, 'JJ': 1})"
91,"Counter({'NN': 2, 'VB': 1, 'JJS': 1, '.': 1, 'TO': 1, 'WP': 1, 'VBZ': 1, 'DT': 1, 'NNS': 1})"
93,"Counter({'NN': 4, 'VB': 1, 'WRB': 1, 'VBD': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'NNS': 1})"
95,"Counter({'NN': 4, 'IN': 4, 'DT': 3, 'VBG': 2, '.': 2, 'RP': 2, 'PRP$': 1, 'RB': 1, 'CC': 1, 'WP': 1, ',': 1, 'VBP': 1, 'WDT': 1, 'JJ': 1, 'NNS': 1, 'VBZ': 1})"
97,"Counter({'NN': 2, 'WDT': 2, 'IN': 2, 'NNS': 2, 'MD': 1, 'VB': 1, 'VBN': 1, '.': 1, 'VBP': 1, 'DT': 1})"
99,"Counter({'VB': 2, 'NNS': 1, 'VBP': 1, 'WRB': 1, '.': 1})"
101,"Counter({'NN': 5, 'RB': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1})"
103,"Counter({'NN': 5, '.': 2, 'IN': 2, 'DT': 2, 'MD': 1, 'WRB': 1, 'RB': 1, ',': 1, 'JJ': 1})"
105,"Counter({'RB': 1, 'NN': 1, '.': 1, 'PRP': 1, 'JJ': 1, 'VBZ': 1})"
107,"Counter({'NN': 3, 'RB': 2, 'WRB': 1, 'CC': 1, 'JJS': 1, 'RBS': 1, '.': 1, 'JJ': 1, 'WP': 1, 'VBZ': 1, 'DT': 1})"
109,"Counter({'NN': 2, 'WRB': 1, 'CC': 1, '.': 1, 'JJ': 1, 'VBZ': 1, 'DT': 1, 'NNS': 1})"
111,"Counter({'VB': 1, 'WRB': 1, 'NN': 1, '.': 1, 'PRP': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1})"
113,"Counter({'VBZ': 1, '.': 1, 'NN': 1, 'JJ': 1, 'WP': 1})"
115,"Counter({'TO': 2, 'VB': 1, 'NN': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'JJ': 1, 'DT': 1, 'NNS': 1})"
117,"Counter({'NN': 6, 'VB': 4, '.': 3, 'RB': 3, 'JJ': 2, 'VBN': 2, 'MD': 1, 'RP': 1, 'VBD': 1, 'CC': 1, 'RBR': 1, 'WP': 1, 'VBZ': 1, 'DT': 1, 'PRP$': 1})"
119,"Counter({'VB': 1, 'JJS': 1, '.': 1, 'TO': 1, 'VBP': 1, 'WDT': 1, 'JJ': 1, 'DT': 1, 'NNS': 1})"
121,"Counter({'NN': 5, 'IN': 2, 'VB': 1, 'WRB': 1, '.': 1, 'VBP': 1, 'DT': 1})"
123,"Counter({'NN': 3, 'JJ': 2, 'IN': 2, 'DT': 2, 'VB': 1, 'PRP$': 1, '.': 1, 'TO': 1, 'PRP': 1, 'VBZ': 1})"
125,"Counter({'NN': 5, 'JJ': 3, 'DT': 2, 'WRB': 1, 'CC': 1, 'POS': 1, '.': 1, ""''"": 1, 'VBZ': 1})"
127,"Counter({'VB': 2, 'WRB': 1, 'VBN': 1, '.': 1, 'VBP': 1, 'RB': 1})"
129,"Counter({'NN': 3, 'VB': 2, 'MD': 1, 'WRB': 1, '.': 1, 'JJ': 1, 'DT': 1})"
131,"Counter({'NN': 2, 'VBG': 2, '.': 2, 'VB': 1, 'WRB': 1, 'TO': 1, 'JJ': 1, 'WP': 1, 'VBZ': 1})"
133,"Counter({'NN': 1, 'JJS': 1, 'VBN': 1, '.': 1, 'RB': 1, 'WP': 1, 'VBZ': 1, 'DT': 1})"
135,"Counter({'NN': 2, 'MD': 1, 'VBD': 1, 'VBN': 1, '.': 1, 'PRP': 1, 'RB': 1, 'IN': 1})"
137,"Counter({'NN': 3, 'PRP$': 1, 'WP': 1, '.': 1, 'IN': 1, 'VBZ': 1})"
139,"Counter({'NN': 4, 'RB': 3, 'IN': 3, 'VB': 2, '.': 2, 'JJ': 2, 'WP': 2, 'VBZ': 2, 'VBN': 1, 'TO': 1})"
141,"Counter({'NN': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'IN': 1, 'DT': 1, 'NNS': 1})"
143,"Counter({'NN': 2, '.': 1, 'JJ': 1, 'WP': 1, 'VBZ': 1, 'DT': 1})"
145,"Counter({'VB': 2, 'MD': 1, 'WRB': 1, 'NN': 1, '.': 1, 'RB': 1})"
147,"Counter({'NN': 6, 'JJ': 2, 'NNS': 2, 'VB': 1, 'WRB': 1, 'PRP$': 1, 'VBN': 1, ""''"": 1, 'TO': 1, 'VBZ': 1, '.': 1})"
149,"Counter({'NN': 3, 'VB': 2, 'DT': 2, 'MD': 1, 'WRB': 1, 'CC': 1, 'WP': 1, 'JJS': 1, 'PRP$': 1, '.': 1, 'IN': 1, 'VBZ': 1})"
151,"Counter({'NN': 5, 'DT': 4, 'IN': 3, 'VBG': 2, 'MD': 1, 'VB': 1, 'RBR': 1, '.': 1, 'VBP': 1, 'JJ': 1, ':': 1, 'NNS': 1})"
153,"Counter({'VB': 2, 'NN': 2, 'VBP': 1, 'WRB': 1, '.': 1})"
155,"Counter({'NN': 4, 'IN': 3, 'VB': 2, 'PRP$': 2, 'WRB': 1, '.': 1, 'VBP': 1})"
157,"Counter({'VB': 2, 'NN': 2, 'MD': 1, 'WRB': 1, '.': 1, 'IN': 1, 'DT': 1})"
159,"Counter({'NN': 2, 'VBZ': 1, 'IN': 1, '.': 1, 'WP': 1})"
161,"Counter({'NN': 5, 'DT': 5, 'IN': 4, 'NNS': 3, 'CC': 2, 'JJ': 2, 'MD': 1, 'VB': 1, 'WRB': 1, 'PDT': 1, '.': 1, 'PRP': 1})"
163,"Counter({'NN': 4, 'JJ': 2, 'DT': 2, 'VBG': 1, 'WP': 1, '.': 1, 'IN': 1, 'VBZ': 1})"
165,"Counter({'NN': 7, 'IN': 3, 'VBZ': 3, 'DT': 3, 'VB': 2, 'WRB': 1, 'RB': 1, 'CC': 1, 'WP': 1, ',': 1, '.': 1, 'TO': 1, 'PRP': 1, 'JJ': 1})"
167,"Counter({'WRB': 1, 'NN': 1, '.': 1, 'VBP': 1, 'JJ': 1, 'NNS': 1})"
169,"Counter({'NN': 3, 'IN': 3, 'DT': 3, 'JJ': 2, '.': 1, 'VBP': 1, 'WDT': 1, 'NNS': 1})"
171,"Counter({'VB': 2, 'MD': 1, 'WRB': 1, 'NN': 1, 'PRP$': 1, 'CD': 1, 'RB': 1, 'IN': 1, '.': 1})"
173,"Counter({'DT': 4, 'NNS': 3, 'NN': 2, 'JJ': 2, 'IN': 2, 'VB': 1, 'WRB': 1, 'VBD': 1, 'CC': 1, ',': 1, 'CD': 1, 'TO': 1, 'VBP': 1, 'WDT': 1, '.': 1})"
175,"Counter({'NN': 3, 'CC': 1, 'WP': 1, '.': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
177,"Counter({'NN': 3, 'JJS': 1, 'CD': 1, 'WDT': 1, 'IN': 1, 'VBZ': 1, 'DT': 1, '.': 1})"
179,"Counter({'NN': 4, ':': 2, 'PRP$': 1, 'WP': 1, 'CD': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1, 'NNS': 1})"
181,"Counter({'NN': 3, 'WP': 1, 'JJS': 1, 'CD': 1, 'IN': 1, 'VBZ': 1, 'DT': 1, '.': 1, 'NNS': 1})"
183,"Counter({'NN': 6, ',': 2, 'JJ': 2, 'IN': 2, 'WRB': 1, '.': 1, 'VBZ': 1, 'DT': 1, ':': 1})"
185,"Counter({'JJ': 2, 'IN': 2, 'DT': 2, 'JJS': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'NNS': 1})"
187,"Counter({'VBZ': 1, 'DT': 1, '.': 1, 'NN': 1, 'WP': 1})"
189,"Counter({'NN': 2, 'WP': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1})"
191,"Counter({'NN': 2, 'VBZ': 1, '.': 1, 'WRB': 1, 'CD': 1})"
193,"Counter({'NN': 3, 'IN': 2, 'VB': 1, 'VBD': 1, '.': 1, 'TO': 1, 'WDT': 1, 'PRP': 1})"
195,"Counter({'VB': 2, 'WRB': 1, 'NN': 1, 'VBD': 1, '.': 1, 'DT': 1})"
197,"Counter({'NN': 8, 'DT': 3, 'VB': 2, 'VBP': 2, 'WDT': 2, 'JJ': 2, 'IN': 2, 'CC': 1, 'MD': 1, 'PRP$': 1, 'VBG': 1, ')': 1, '(': 1, 'JJS': 1, 'CD': 1, 'TO': 1, '.': 1, 'NNS': 1})"
199,"Counter({'NN': 2, 'JJ': 2, 'IN': 2, 'WRB': 1, 'RB': 1, '.': 1, 'VBZ': 1, 'DT': 1})"
201,"Counter({'NN': 4, 'MD': 2, 'VB': 2, '.': 2, 'IN': 2, 'DT': 2, 'JJ': 1, 'CC': 1, 'WP': 1, 'PRP$': 1, 'EX': 1, 'RB': 1, 'NNS': 1})"
203,"Counter({'NN': 2, 'VB': 1, 'VBD': 1, 'PRP$': 1, '.': 1, 'VBP': 1, 'IN': 1, 'DT': 1, 'NNS': 1})"
205,"Counter({'DT': 4, 'NN': 3, 'IN': 2, 'NNS': 2, 'VBD': 1, 'CC': 1, '.': 1, 'WDT': 1, 'JJ': 1})"
207,"Counter({'NN': 2, 'JJS': 1, 'CD': 1, 'WDT': 1, 'IN': 1, 'VBZ': 1, 'DT': 1, '.': 1})"
209,"Counter({'VB': 2, 'NN': 2, 'MD': 1, 'VBD': 1, 'PRP$': 1, '.': 1, 'JJ': 1, 'IN': 1, 'DT': 1})"
211,"Counter({'NN': 2, '.': 2, 'JJ': 2, 'IN': 2, 'MD': 1, 'WRB': 1, 'RB': 1, 'JJR': 1, 'DT': 1, 'NNS': 1})"
213,"Counter({'NN': 2, 'VB': 1, 'JJR': 1, '.': 1, 'PRP': 1, 'RB': 1, 'IN': 1})"
215,"Counter({'NN': 3, 'IN': 2, 'CC': 1, 'DT': 1, '.': 1})"
217,"Counter({'NN': 3, 'JJ': 2, 'WRB': 1, '.': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
219,"Counter({'NN': 4, 'IN': 2, 'WRB': 1, 'VBG': 1, '.': 1, 'VBZ': 1, 'DT': 1, 'NNS': 1})"
221,"Counter({'VB': 2, 'MD': 1, 'WRB': 1, 'NN': 1, '.': 1, 'JJ': 1, 'IN': 1, 'NNS': 1})"
223,"Counter({'NN': 2, 'JJ': 2, 'DT': 2, 'RBS': 1, '.': 1, 'IN': 1, 'VBZ': 1})"
225,"Counter({'NN': 3, 'VB': 2, 'WRB': 1, '.': 1, 'PRP': 1, 'JJ': 1, 'DT': 1})"
227,"Counter({'VB': 2, 'NN': 1, '.': 1, 'VBP': 1, 'PRP': 1, 'WP': 1})"
229,"Counter({'NN': 3, 'VBG': 1, 'WP': 1, '.': 1, 'IN': 1, 'VBZ': 1})"
231,"Counter({'WRB': 3, 'VBP': 3, 'PRP': 3, 'JJ': 2, 'VB': 1, 'CC': 1, '.': 1})"
233,"Counter({'NNS': 3, 'WRB': 2, 'PRP$': 2, 'VB': 1, 'VBG': 1, '.': 1, 'TO': 1, 'VBP': 1, 'IN': 1, 'RP': 1, 'DT': 1})"
235,"Counter({'NN': 3, 'VBG': 2, 'DT': 2, 'VB': 1, 'VBD': 1, 'CD': 1, 'PRP': 1, 'IN': 1, '.': 1})"
237,"Counter({'VBP': 3, 'WDT': 2, 'IN': 2, 'NNS': 2, 'VB': 1, 'NN': 1, 'JJS': 1, '.': 1, 'JJ': 1, 'DT': 1})"
239,"Counter({'NN': 2, 'JJ': 2, 'DT': 2, 'MD': 1, 'VB': 1, 'VBG': 1, 'CC': 1, '.': 1, 'IN': 1})"
241,"Counter({'NN': 2, 'PRP$': 1, 'WRB': 1, 'VBD': 1, 'VBN': 1, '.': 1, 'IN': 1, 'VBG': 1})"
243,"Counter({'NN': 4, 'DT': 3, 'CC': 1, 'WP': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1})"
245,"Counter({'NN': 2, 'JJS': 1, '.': 1, 'JJ': 1, 'WP': 1, 'VBZ': 1, 'DT': 1})"
247,"Counter({'NN': 2, 'DT': 2, 'WP': 1, 'JJS': 1, '.': 1, 'IN': 1, 'VBZ': 1})"
249,"Counter({'NN': 2, '.': 1, 'TO': 1, 'JJ': 1, 'WP': 1, 'VBZ': 1, 'DT': 1})"
251,"Counter({'NN': 6, 'VB': 2, 'IN': 2, 'DT': 2, 'WRB': 1, ')': 1, '(': 1, ',': 1, '.': 1, 'VBZ': 1, 'NNS': 1})"
253,"Counter({'NN': 2, 'WP': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
255,"Counter({'VB': 3, 'NN': 3, 'MD': 1, '.': 1, 'TO': 1, 'PRP': 1, 'IN': 1, 'DT': 1, 'NNS': 1})"
257,"Counter({'NN': 4, 'IN': 3, 'VB': 2, 'WP': 2, '.': 2, 'CD': 2, 'MD': 1, 'CC': 1, 'TO': 1, 'PRP': 1, 'JJ': 1, 'VBZ': 1, 'DT': 1, 'NNS': 1})"
259,"Counter({'NN': 3, 'VB': 1, 'WRB': 1, '.': 1, 'VBP': 1, 'IN': 1})"
261,"Counter({'NN': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'DT': 1, 'NNS': 1})"
263,"Counter({'NN': 1, 'VBD': 1, '.': 1, 'JJ': 1, 'CD': 1, 'NNS': 1})"
265,"Counter({'NN': 3, 'VB': 1, 'WRB': 1, 'PRP$': 1, '.': 1, 'VBP': 1, 'RB': 1})"
267,"Counter({'TO': 2, 'JJ': 2, 'NNS': 2, 'VB': 1, 'JJR': 1, 'VBN': 1, 'PRP': 1, 'IN': 1, 'VBZ': 1, '.': 1})"
269,"Counter({'NN': 3, 'JJS': 2, 'CC': 1, 'IN': 1, '.': 1, 'WP': 1, 'VBZ': 1, 'DT': 1})"
271,"Counter({'NN': 1, '.': 1, 'VBP': 1, 'WP': 1, 'DT': 1, 'NNS': 1})"
273,"Counter({'VB': 2, 'CC': 1, '.': 1, 'VBP': 1, 'PRP': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'NNS': 1})"
275,"Counter({'NN': 3, 'CC': 2, 'JJ': 2, '.': 1, 'VBP': 1, 'IN': 1, 'NNS': 1})"
277,"Counter({'NN': 3, 'WRB': 1, '.': 1, 'VBP': 1, 'JJ': 1, 'IN': 1})"
279,"Counter({'NN': 2, 'WP': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
281,"Counter({'NN': 2, 'PRP$': 1, 'WP': 1, '.': 1, 'IN': 1, 'VBZ': 1})"
283,"Counter({'NNS': 2, '.': 1, 'VBP': 1, 'WDT': 1, 'JJ': 1, 'IN': 1})"
285,"Counter({'NN': 4, 'JJ': 2, 'CC': 1, 'RBR': 1, '.': 1, 'WDT': 1, 'VBZ': 1})"
287,"Counter({'NN': 1, 'VBN': 1, '.': 1, 'VBP': 1, 'JJ': 1, 'VBZ': 1, 'DT': 1})"
289,"Counter({'NN': 3, 'JJ': 3, 'VBZ': 3, 'VB': 2, 'TO': 2, 'PRP': 2, 'WRB': 1, ',': 1, 'VBG': 1, 'IN': 1, 'DT': 1, '.': 1})"
291,"Counter({'VB': 2, 'NNS': 2, 'RB': 1, 'NN': 1, 'CC': 1, '.': 1, 'VBP': 1, 'JJ': 1, 'VBZ': 1})"
293,"Counter({'MD': 1, 'VB': 1, 'WRB': 1, 'NN': 1, '.': 1, 'PRP': 1, 'DT': 1, 'NNS': 1})"
295,"Counter({'CD': 3, 'IN': 3, 'NNS': 3, 'NN': 2, 'JJ': 2, 'MD': 1, 'VB': 1, 'WRB': 1, 'RB': 1, 'JJS': 1, 'TO': 1, 'PRP': 1, 'VBG': 1, 'DT': 1, '.': 1, 'VBZ': 1})"
297,"Counter({'VB': 2, 'NN': 2, 'MD': 1, 'WRB': 1, 'JJ': 1, '.': 1, 'TO': 1, 'PRP': 1, 'RB': 1, 'IN': 1, 'NNS': 1})"
299,"Counter({'JJ': 3, 'IN': 2, 'NNS': 2, 'RB': 1, 'NN': 1, 'CD': 1, 'VBP': 1, 'VBZ': 1, 'DT': 1, '.': 1})"
301,"Counter({'NNS': 2, 'WRB': 1, 'VBD': 1, '.': 1, 'VBP': 1, 'JJ': 1})"
303,"Counter({'VB': 2, 'VBG': 2, 'MD': 1, 'WRB': 1, '.': 1, 'JJ': 1, 'IN': 1})"
305,"Counter({'VB': 1, 'WRB': 1, 'NN': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1, 'NNS': 1})"
307,"Counter({'NN': 3, 'MD': 1, 'VB': 1, 'IN': 1, 'PRP$': 1, '.': 1, 'WP': 1})"
309,"Counter({'VBP': 1, 'WRB': 1, 'PRP': 1, 'JJ': 1, '.': 1})"
311,"Counter({'VB': 2, 'MD': 1, 'RB': 1, 'NN': 1, '.': 1, 'JJ': 1})"
313,"Counter({'NN': 5, 'RB': 3, 'VB': 2, 'VBP': 2, 'IN': 2, 'NNS': 2, 'MD': 1, 'JJ': 1, 'CC': 1, ',': 1, '.': 1, 'PRP$': 1, 'NNP': 1})"
315,"Counter({'VB': 2, 'CD': 2, 'MD': 1, 'NN': 1, 'TO': 1, 'PRP': 1, 'JJ': 1, 'IN': 1, '.': 1})"
317,"Counter({'VBP': 2, 'IN': 2, 'NNS': 2, 'NN': 1, '.': 1, 'TO': 1, 'WDT': 1, 'JJ': 1, 'VBZ': 1, 'DT': 1})"
319,"Counter({'NN': 2, 'VB': 1, 'WRB': 1, 'PRP$': 1, '.': 1, 'IN': 1, 'NNS': 1})"
321,"Counter({'NN': 1, 'JJS': 1, '.': 1, 'VBP': 1, 'PRP': 1, 'WP': 1, 'VBZ': 1, 'DT': 1})"
323,"Counter({'NN': 9, 'JJ': 7, '.': 3, 'IN': 2, 'VBG': 1, 'VBD': 1, 'CC': 1, ',': 1, 'CD': 1, 'VBZ': 1, 'NNS': 1})"
325,"Counter({'NN': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
327,"Counter({'NN': 4, 'VB': 1, 'WRB': 1, '.': 1, 'VBP': 1, 'IN': 1, 'DT': 1})"
329,"Counter({'NN': 3, 'VB': 2, 'MD': 1, 'WRB': 1, '.': 1, 'TO': 1, 'JJ': 1, 'IN': 1, 'DT': 1})"
331,"Counter({'NN': 2, 'IN': 2, 'JJS': 1, 'CD': 1, 'WDT': 1, 'JJ': 1, 'VBZ': 1, 'DT': 1, '.': 1})"
333,"Counter({'NN': 3, 'VBP': 2, 'VB': 1, '.': 1, 'TO': 1, 'NNS': 1})"
335,"Counter({'VB': 2, 'RB': 2, 'POS': 2, ""''"": 2, 'TO': 2, 'PRP': 2, 'IN': 2, 'VBG': 1, 'NN': 1, 'CC': 1, '.': 1, 'WDT': 1, 'JJ': 1, 'VBZ': 1, ':': 1})"
337,"Counter({'NN': 1, 'JJS': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'DT': 1, 'NNS': 1})"
339,"Counter({'NN': 3, 'PRP': 3, 'VB': 2, 'CC': 2, 'RB': 2, 'WRB': 1, '.': 1, 'VBP': 1, 'IN': 1, 'VBG': 1})"
341,"Counter({'NN': 3, 'CC': 1, 'WP': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
343,"Counter({'VBG': 1, 'NN': 1, '.': 1, 'VBP': 1, 'WDT': 1, 'IN': 1, 'DT': 1, 'NNS': 1})"
345,"Counter({'NN': 2, 'VB': 1, 'JJS': 1, '.': 1, 'TO': 1, 'WP': 1, 'VBZ': 1, 'DT': 1})"
347,"Counter({'VB': 2, 'NN': 2, 'NNS': 2, 'CC': 1, '.': 1, 'JJ': 1, 'IN': 1, 'VBZ': 1, 'DT': 1})"
349,"Counter({'VB': 3, 'NN': 2, 'WRB': 1, '.': 1, 'TO': 1, 'VBP': 1, 'IN': 1})"
351,"Counter({'NN': 2, 'JJS': 1, '.': 1, 'WDT': 1, 'JJ': 1, 'VBZ': 1, 'DT': 1})"
353,"Counter({'IN': 2, 'VB': 1, 'NN': 1, 'WP': 1, '.': 1, 'TO': 1, 'PRP': 1, 'VBZ': 1})"
355,"Counter({'NN': 2, 'IN': 2, 'VB': 1, 'FW': 1, 'CC': 1, 'WP': 1, ',': 1, 'RBR': 1, 'JJ': 1, 'VBZ': 1, '.': 1})"
357,"Counter({'.': 2, 'NNS': 2, 'WRB': 1, 'VBP': 1, 'JJ': 1, 'VBZ': 1, 'DT': 1})"
359,"Counter({'VB': 1, 'VBP': 1, 'NNS': 1, '.': 1})"
